Audio,Original_Conf,Original_Especie,Con_Filtros_Conf,Con_Filtros_Especie,Mejora,Q,R,F,Coinciden
fragmento_36,0.0,N/A,0.9999,White-whiskered Spinetail,0.9999,0.005,0.0065,500,❌ (especie no encontrada)
fragmento_65,0.4448,Scaled Dove,0.9782,Scaled Dove,0.5334,0.002,0.0055,500,✅
fragmento_3508,0.4677,Laughing Falcon,0.9749,Laughing Falcon,0.5072,0.005,0.007,500,✅
fragmento_2049,0.382,Rufous-browed Peppershrike,0.8319,Rufous-browed Peppershrike,0.44989999999999997,0.005,0.0045,1000,✅
fragmento_1882,0.4346,Rufous-browed Peppershrike,0.8716,Rufous-browed Peppershrike,0.43700000000000006,0.002,0.007,2000,✅
fragmento_1874,0.3193,Rufous-browed Peppershrike,0.7517,Rufous-browed Peppershrike,0.43240000000000006,0.0065,0.0035,1000,✅
fragmento_1885,0.327,Rufous-browed Peppershrike,0.7482,Rufous-browed Peppershrike,0.42119999999999996,0.002,0.007,1000,✅
fragmento_2679,0.3664,Great Kiskadee,0.7582,Great Kiskadee,0.3918,0.002,0.007,2500,✅
fragmento_56,0.3221,Scaled Dove,0.6473,Scaled Dove,0.3252,0.002,0.0065,500,✅
fragmento_48,0.6386,Scaled Dove,0.9457,Scaled Dove,0.30710000000000004,0.005,0.0035,500,✅
fragmento_3516,0.6858,Laughing Falcon,0.9849,Laughing Falcon,0.29910000000000003,0.005,0.0035,1500,✅
fragmento_2634,0.213,Great Kiskadee,0.4936,Great Kiskadee,0.28059999999999996,0.0065,0.0065,1500,✅
fragmento_379,0.0229,Dot-winged Antwren,0.2204,Dot-winged Antwren,0.1975,0.006,0.0035,2000,✅
fragmento_95,0.6941,Scaled Dove,0.8819,Scaled Dove,0.18779999999999997,0.005,0.0065,500,✅
fragmento_1931,0.3326,Rufous-browed Peppershrike,0.5164,Rufous-browed Peppershrike,0.18379999999999996,0.005,0.0045,1000,✅
fragmento_2381,0.6007,Rufous-browed Peppershrike,0.7529,Rufous-browed Peppershrike,0.1522,0.005,0.0035,1000,✅
fragmento_1872,0.568,Rufous-browed Peppershrike,0.72,Rufous-browed Peppershrike,0.15200000000000002,0.002,0.0035,1500,✅
fragmento_3512,0.8421,Laughing Falcon,0.9899,Laughing Falcon,0.14780000000000004,0.006,0.0035,1000,✅
fragmento_1465,0.0,N/A,0.1384,Russet-winged Schiffornis,0.1384,0.0065,0.0035,1500,❌ (especie no encontrada)
fragmento_2631,0.623,Great Kiskadee,0.7493,Great Kiskadee,0.12629999999999997,0.002,0.0055,2000,✅
fragmento_181,0.3957,Scaled Dove,0.5182,Scaled Dove,0.1225,0.002,0.0065,500,✅
fragmento_67,0.8616,Scaled Dove,0.9782,Scaled Dove,0.11659999999999993,0.002,0.007,500,✅
fragmento_7298,0.3508,Crested Owl,0.4506,Crested Owl,0.0998,0.002,0.007,500,✅
fragmento_49,0.8526,Scaled Dove,0.9431,Scaled Dove,0.09050000000000002,0.002,0.0065,500,✅
fragmento_1893,0.3565,Rufous-browed Peppershrike,0.44,Rufous-browed Peppershrike,0.08350000000000002,0.002,0.007,1000,✅
fragmento_1869,0.4125,Rufous-browed Peppershrike,0.4698,Rufous-browed Peppershrike,0.05730000000000002,0.002,0.007,2000,✅
fragmento_3580,0.8977,Laughing Falcon,0.9475,Laughing Falcon,0.049799999999999955,0.002,0.007,500,✅
fragmento_2054,0.3776,Rufous-browed Peppershrike,0.4179,Rufous-browed Peppershrike,0.0403,0.003,0.007,500,✅
fragmento_43,0.9535,Scaled Dove,0.9926,Scaled Dove,0.039100000000000024,0.002,0.007,500,✅
fragmento_7342,0.3773,Crested Owl,0.4139,Crested Owl,0.036599999999999966,0.002,0.0055,500,✅
fragmento_7310,0.4829,Crested Owl,0.4922,Crested Owl,0.00930000000000003,0.002,0.0035,500,✅
fragmento_3461,0.999,Laughing Falcon,0.9993,Laughing Falcon,0.00029999999999996696,0.005,0.0035,1000,✅
fragmento_2861,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0,❌ (especie no encontrada)
fragmento_2814,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0,❌ (especie no encontrada)
fragmento_3091,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0,❌ (especie no encontrada)
fragmento_2056,0.3927,Rufous-browed Peppershrike,0.3887,Rufous-browed Peppershrike,-0.0040000000000000036,0.006,0.0055,2000,✅
fragmento_3574,0.4473,Laughing Falcon,0.4129,Laughing Falcon,-0.034399999999999986,0.005,0.0035,500,✅
fragmento_1187,0.323,Scaled Dove,0.2792,Scaled Dove,-0.043800000000000006,0.002,0.007,500,✅
fragmento_1925,0.5461,Rufous-browed Peppershrike,0.4892,Rufous-browed Peppershrike,-0.056900000000000006,0.006,0.0035,1000,✅
fragmento_2007,0.3461,Rufous-browed Peppershrike,0.2735,Rufous-browed Peppershrike,-0.0726,0.002,0.007,2000,✅
fragmento_7441,0.4222,Crested Owl,0.3259,Crested Owl,-0.0963,0.002,0.0035,500,✅
fragmento_579,0.33,Rufous-browed Peppershrike,0.2318,Rufous-browed Peppershrike,-0.09820000000000001,0.0065,0.0035,2000,✅
fragmento_7321,0.7104,Crested Owl,0.6117,Crested Owl,-0.09870000000000001,0.006,0.0065,500,✅
fragmento_7363,0.3669,Crested Owl,0.2431,Crested Owl,-0.1238,0.003,0.0055,500,✅
fragmento_7400,0.3225,Crested Owl,0.1896,Crested Owl,-0.13290000000000002,0.006,0.007,500,✅
fragmento_2029,0.3852,Rufous-browed Peppershrike,0.2032,Rufous-browed Peppershrike,-0.182,0.002,0.0055,500,✅
fragmento_7397,0.6079,Crested Owl,0.3978,Crested Owl,-0.2101,0.002,0.007,500,✅
fragmento_7375,0.416,Crested Owl,0.1365,Crested Owl,-0.27949999999999997,0.0065,0.0045,500,✅
fragmento_1292,0.4336,Brown-crested Flycatcher,0.1058,Brown-crested Flycatcher,-0.3278,0.003,0.0065,1000,✅
fragmento_7219,0.8205,Crested Owl,0.3375,Crested Owl,-0.483,0.006,0.0035,500,✅
